user_id,animal,est_i,estimation
89210137,rabbit,2,28
89210137,rabbit,3,27
89210137,rabbit,4,18
89210137,rabbit,5,11
56156078,pigeon,0,100
56156078,pigeon,1,75
56156078,pigeon,2,100
56156078,pigeon,3,80
56156078,pigeon,4,80
56156078,pigeon,5,100
56156078,rabbit,0,80
56156078,rabbit,1,60
56156078,rabbit,2,100
56156078,rabbit,3,100
56156078,rabbit,4,60
56156078,rabbit,5,100
56156078,mouse,0,80
56156078,mouse,1,60
56156078,mouse,2,80
56156078,mouse,3,40
56156078,mouse,4,100
56156078,mouse,5,60
42229882,pigeon,0,70
42229882,pigeon,1,60
42229882,pigeon,2,70
42229882,pigeon,3,61
42229882,pigeon,4,65
42229882,pigeon,5,45
42229882,rabbit,0,45
42229882,rabbit,1,60
42229882,rabbit,2,70
42229882,rabbit,3,65
42229882,rabbit,4,70
42229882,rabbit,5,45
42229882,mouse,0,45
42229882,mouse,1,75
42229882,mouse,2,60
42229882,mouse,3,70
42229882,mouse,4,80
42229882,mouse,5,60
93824693,pigeon,0,70
93824693,pigeon,1,80
93824693,pigeon,2,80
93824693,pigeon,3,85
93824693,pigeon,4,60
93824693,pigeon,5,70
93824693,mouse,0,20
93824693,mouse,1,30
93824693,mouse,2,20
93824693,mouse,3,25
93824693,mouse,4,20
93824693,mouse,5,25
93824693,rabbit,0,20
93824693,rabbit,1,10
93824693,rabbit,2,50
93824693,rabbit,3,80
93824693,rabbit,4,60
93824693,rabbit,5,40
23703759,mouse,0,85
23703759,mouse,1,85
23703759,mouse,2,87
23703759,mouse,3,87
23703759,mouse,4,85
23703759,mouse,5,85
23703759,rabbit,0,85
23703759,rabbit,1,83
23703759,rabbit,2,83
23703759,rabbit,3,78
23703759,rabbit,4,75
23703759,rabbit,5,70
23703759,pigeon,0,60
23703759,pigeon,1,60
23703759,pigeon,2,50
23703759,pigeon,3,50
23703759,pigeon,4,48
23703759,pigeon,5,50
98471008,rabbit,0,66
98471008,rabbit,1,65
98471008,rabbit,2,81
98471008,rabbit,3,74
98471008,rabbit,4,100
98471008,rabbit,5,100
98471008,pigeon,0,100
98471008,pigeon,1,88
98471008,pigeon,2,95
98471008,pigeon,3,83
98471008,pigeon,4,71
98471008,pigeon,5,78
98471008,mouse,0,50
98471008,mouse,1,75
98471008,mouse,2,86
98471008,mouse,3,97
98471008,mouse,4,61
98471008,mouse,5,100
91490575,rabbit,0,20
91490575,rabbit,1,40
91490575,rabbit,2,45
91490575,rabbit,3,40
91490575,rabbit,4,35
91490575,rabbit,5,40
91490575,mouse,0,40
91490575,mouse,1,50
91490575,mouse,2,45
91490575,mouse,3,50
91490575,mouse,4,60
91490575,mouse,5,45
91490575,pigeon,0,15
